Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
"";;;01/06/2023;4292,583;32711,90;7,62;22068,43;745,79;1072,91;10643,47;26,98;48,23;0,62;0,62;;;
"";;;02/06/2023;4409,797;34913,85;7,92;23674,74;780,70;1196,98;11239,11;26,53;47,47;0,65;1,27;;;
"";;;03/06/2023;4371,940;32883,26;7,52;22386,07;857,77;1125,67;10497,19;25,89;46,89;0,61;1,88;;;
"";;;04/06/2023;2230,884;18197,26;8,16;12347,23;540,55;566,48;5850,03;26,06;47,38;0,34;2,22;;;
"";;;05/06/2023;3804,788;28376,03;7,46;18879,97;759,69;926,58;9496,06;27,52;50,30;0,55;2,78;;;
"";;;06/06/2023;4717,171;33847,48;7,18;23592,17;865,49;1119,59;10255,31;24,43;43,47;0,60;3,37;;;
"";;;07/06/2023;4674,059;35002,78;7,49;23438,80;816,87;1223,84;11563,98;27,21;49,34;0,67;4,05;;;
"";;;08/06/2023;1866,816;13626,15;7,30;9040,39;350,61;448,83;4585,76;27,79;50,73;0,27;4,31;;;
"";;;09/06/2023;4006,592;32754,42;8,18;22194,16;757,04;997,01;10560,26;26,89;47,58;0,61;4,93;;;
"";;;10/06/2023;3907,228;31268,25;8,00;21251,86;738,35;887,68;10016,39;26,83;47,13;0,58;5,51;;;
"";;;11/06/2023;1951,834;14707,84;7,54;9992,26;372,16;447,65;4715,58;26,49;47,19;0,27;5,79;;;
"";;;12/06/2023;4325,817;35626,17;8,24;24846,24;782,16;1258,79;10779,93;24,53;43,39;0,63;6,41;;;
"";;;13/06/2023;4064,367;28578,82;7,03;21036,11;685,49;856,37;7542,71;21,00;35,86;0,44;6,85;;;
"";;;14/06/2023;3616,377;27117,37;7,50;17985,01;678,50;899,95;9132,36;27,86;50,78;0,53;7,38;;;
"";;;15/06/2023;3872,061;29355,44;7,58;19785,19;681,22;943,85;9570,25;27,07;48,37;0,56;7,94;;;
"";;;16/06/2023;4299,560;31305,90;7,28;21278,17;770,34;981,14;10027,73;26,44;47,13;0,58;8,52;;;
"";;;17/06/2023;3408,695;27000,46;7,92;18086,51;654,84;877,53;8913,95;27,34;49,29;0,52;9,04;;;
"";;;18/06/2023;2407,828;17571,60;7,30;11959,28;478,88;499,39;5612,32;26,37;46,93;0,33;9,37;;;
"";;;19/06/2023;3629,190;26742,86;7,37;18054,66;736,70;882,14;8688,20;26,43;48,12;0,51;9,87;;;
"";;;20/06/2023;4220,436;30004,52;7,11;21134,02;811,24;907,09;8870,50;23,84;41,97;0,52;10,39;;;
"";;;21/06/2023;4187,766;30024,72;7,17;20223,34;776,74;969,92;9801,38;26,83;48,47;0,57;10,96;;;
"";;;22/06/2023;4021,219;30618,15;7,61;20352,77;805,75;1019,63;10265,38;27,57;50,44;0,60;11,56;;;
"";;;23/06/2023;4090,025;30027,10;7,34;20493,00;656,67;904,20;9534,10;26,55;46,52;0,55;12,11;;;
"";;;24/06/2023;4047,776;29918,17;7,39;20431,96;695,70;922,31;9486,21;26,30;46,43;0,55;12,66;;;
"";;;25/06/2023;2429,755;17874,13;7,36;12430,05;428,12;456,78;5444,08;25,51;43,80;0,32;12,98;;;
"";;;26/06/2023;4014,981;28741,30;7,16;19051,72;740,51;924,65;9689,58;27,92;50,86;0,56;13,55;;;
"";;;27/06/2023;4423,141;32542,98;7,36;22559,38;863,16;1031,22;9983,60;24,86;44,25;0,58;14,13;;;
"";;;28/06/2023;4473,288;33486,86;7,49;22410,83;820,09;1098,01;11076,03;27,35;49,42;0,64;14,77;;;
"";;;29/06/2023;4049,156;30206,59;7,46;20396,17;677,08;935,44;9810,42;27,14;48,10;0,57;15,34;;;
"";;;30/06/2023;4385,056;33140,33;7,56;22406,95;667,33;1073,15;10733,38;27,14;47,90;0,62;15,97;;;
"";;;01/07/2023;4091,050;31861,02;7,79;21508,10;776,55;1026,40;10352,92;26,84;48,13;0,60;16,57;;;
"";;;02/07/2023;2302,945;18081,29;7,85;12216,54;500,37;505,15;5864,75;26,87;48,01;0,34;16,91;;;
"";;;03/07/2023;4558,963;33028,90;7,24;22079,60;839,48;1110,50;10949,30;27,25;49,59;0,64;17,55;;;
"";;;04/07/2023;4444,059;31368,38;7,06;21713,87;734,22;1045,90;9654,51;25,10;44,46;0,56;18,11;;;
"";;;05/07/2023;5102,734;36506,90;7,15;24363,11;937,61;1157,86;12143,79;27,52;49,84;0,71;18,82;;;
"";;;06/07/2023;4181,313;32613,49;7,80;22004,66;911,63;1018,98;10608,83;26,61;48,21;0,62;19,43;;;
"";;;07/07/2023;4521,439;35354,11;7,82;24088,98;815,59;1237,30;11265,13;26,06;46,76;0,66;20,09;;;
"";;;08/07/2023;3803,788;28643,10;7,53;19514,17;769,62;898,87;9128,93;26,05;46,78;0,53;20,62;;;
"";;;09/07/2023;1951,955;14958,18;7,66;10118,14;403,03;437,18;4840,04;26,74;47,84;0,28;20,90;;;
"";;;10/07/2023;3657,466;27173,03;7,43;18044,55;797,88;857,62;9128,48;27,50;50,59;0,53;21,43;;;
"";;;11/07/2023;3817,084;28356,82;7,43;19606,06;729,99;889,49;8750,76;25,15;44,63;0,51;21,94;;;
"";;;12/07/2023;3765,133;27690,22;7,35;18493,46;725,07;922,02;9196,76;27,26;49,73;0,54;22,48;;;
"";;;13/07/2023;3947,850;29279,76;7,42;19664,91;726,23;897,92;9614,85;27,29;48,89;0,56;23,04;;;
"";;;14/07/2023;3832,089;29876,11;7,80;20188,58;720,27;1015,90;9687,53;26,61;47,99;0,56;23,60;;;
"";;;15/07/2023;3484,464;27414,12;7,87;18555,04;658,77;936,27;8859,08;26,50;47,74;0,52;24,12;;;
"";;;16/07/2023;2117,227;16411,37;7,75;11107,19;423,98;468,48;5304,18;26,88;47,75;0,31;24,42;;;
"";;;17/07/2023;3426,058;26264,07;7,67;17248,40;680,34;780,07;9015,67;28,77;52,27;0,52;24,95;;;
"";;;18/07/2023;4040,450;31014,81;7,68;21721,17;748,17;1074,69;9293,64;24,09;42,79;0,54;25,49;;;
"";;;19/07/2023;3784,984;29501,95;7,79;19754,91;747,66;966,52;9747,04;27,23;49,34;0,57;26,06;;;
"";;;20/07/2023;4118,975;31111,76;7,55;20726,43;822,36;1032,95;10385,33;27,42;50,11;0,60;26,66;;;
"";;;21/07/2023;3073,436;23345,47;7,60;15706,84;574,60;807,79;7638,63;26,80;48,63;0,44;27,10;;;
"";;;22/07/2023;3655,371;28226,76;7,72;19072,63;709,32;943,11;9154,13;26,58;48,00;0,53;27,64;;;
"";;;23/07/2023;1934,180;13886,09;7,18;9436,38;386,90;392,16;4449,71;26,43;47,15;0,26;27,90;;;
"";;;24/07/2023;3360,894;25072,41;7,46;16765,34;638,40;850,11;8307,07;27,20;49,55;0,48;28,38;;;
"";;;25/07/2023;3883,061;26818,82;6,91;18629,08;677,79;791,91;8189,74;25,06;43,96;0,48;28,86;;;
"";;;26/07/2023;4047,932;31745,56;7,84;21168,14;860,87;1020,07;10577,42;27,39;49,97;0,62;29,47;;;
"";;;27/07/2023;3666,671;27083,01;7,39;18360,45;640,70;792,20;8722,56;26,92;47,51;0,51;29,98;;;
"";;;28/07/2023;3856,463;28036,19;7,27;19150,48;579,62;1010,25;8885,71;26,02;46,40;0,52;30,50;;;
"";;;29/07/2023;3618,894;28301,56;7,82;19267,51;665,57;962,22;9034,05;26,17;46,89;0,53;31,02;;;
"";;;30/07/2023;1871,598;13868,57;7,41;9356,80;396,32;408,28;4511,77;26,73;48,22;0,26;31,28;;;
"";;;31/07/2023;4021,386;29306,30;7,29;19598,66;679,37;910,42;9707,64;27,70;49,53;0,56;31,85;;;
"";;;01/08/2023;4411,388;31540,13;7,15;21859,03;684,24;1084,71;9681,10;25,09;44,29;0,56;32,41;;;
"";;;02/08/2023;4303,835;31702,27;7,37;21335,27;749,88;1003,76;10367,00;27,17;48,59;0,60;33,02;;;
"";;;03/08/2023;4414,241;32924,83;7,46;22747,96;725,21;1025,36;10176,87;25,59;44,74;0,59;33,61;;;
"";;;04/08/2023;4397,543;34051,77;7,74;23512,86;720,83;1143,63;10538,91;25,47;44,82;0,61;34,22;;;
"";;;05/08/2023;3837,240;29775,17;7,76;20457,89;745,70;973,31;9317,28;25,52;45,54;0,54;34,76;;;
"";;;06/08/2023;2442,678;18393,85;7,53;12550,05;496,23;508,20;5843,80;26,31;46,56;0,34;35,10;;;
"";;;07/08/2023;4188,940;32371,61;7,73;21806,09;794,10;984,35;10565,52;27,14;48,45;0,61;35,72;;;
"";;;08/08/2023;4116,135;28832,07;7,00;20004,97;641,65;948,85;8827,10;25,10;44,12;0,51;36,23;;;
"";;;09/08/2023;4169,433;31767,21;7,62;20846,32;719,94;998,77;10920,89;28,97;52,39;0,64;36,87;;;
"";;;10/08/2023;4298,363;31947,95;7,43;21428,51;848,12;1027,63;10519,44;27,06;49,09;0,61;37,48;;;
"";;;11/08/2023;3676,499;26777,51;7,28;18197,09;588,49;772,91;8580,42;26,96;47,15;0,50;37,98;;;
"";;;12/08/2023;4929,123;37390,14;7,59;25601,77;835,44;1186,86;11788,37;26,12;46,05;0,69;38,67;;;
"";;;13/08/2023;2511,570;20137,05;8,02;13814,52;450,67;664,12;6322,53;25,86;45,77;0,37;39,03;;;
"";;;14/08/2023;3472,885;25458,42;7,33;16943,35;630,87;830,54;8515,07;27,71;50,26;0,50;39,53;;;
"";;;15/08/2023;4230,429;31374,68;7,42;21357,97;853,28;931,62;10016,71;26,24;46,90;0,58;40,11;;;
