Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;405;RIO MEAT DISTRIBUIDORA DE ALIMENTOS LTDA;651059;EFETIVADA;01/12/2023;01/12/2023;0,00;1,50;0,00;0,00;0,00;0,00;41,93;0,00;0,00;0,00;430,35;51,64;0,00;0,00;739,30
1;116;QUEBRAMAR IND E COM DE CARNES E DERIVADOS LTDA;1292793;EFETIVADA;01/12/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;205,37;0,00;0,00;0,00;2108,08;252,96;0,00;0,00;3614,05
1;570;GET DISTRIBUIDORA DE ALIMENTOS LTDA;212158;EFETIVADA;01/12/2023;02/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;42,93;0,00;0,00;0,00;440,66;52,87;0,00;0,00;755,46
1;532;FORCE MEAT COM E DISTR DE CARNES E DERIVADOS LTDA;932231;EFETIVADA;01/12/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;302,75;0,00;0,00;0,00;3107,84;372,94;0,00;0,00;5328,03
1;206;RAUCHER ALIMENTOS LTDA - EPP;8708;EFETIVADA;01/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;490,00
1;10;BRF S.A.;9037518;EFETIVADA;02/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;248,34;37,78;12,78;0,00;3675,52;572,50;2270,00;114,90;687,53
1;550;PORCO FELIZ INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS E;4724;EFETIVADA;04/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;167,22;30,10;0,00;0,00;430,00
1;510;MC RIBEIRO DISTRIBUIDORA DE AVES ABATIDAS LTDA;4381;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;202,35;0,00;0,00;0,00;983,76;118,05;0,00;0,00;1686,25
1;275;RD ITORORO EIRELI;2041;EFETIVADA;06/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,04;0,00;0,00;1602,00;288,36;0,00;0,00;1602,00
1;190;SEARA ALIMENTOS LTDA;1730031;EFETIVADA;07/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;96,01;16,04;3,80;0,00;1046,52;188,38;694,00;34,04;628,40
