Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;68;RIO DE JANEIRO REFRESCOS;938392;EFETIVADA;30/11/2023;02/12/2023;0,00;4,21;0,00;13,41;10,64;0,00;0,00;13,15;4,04;0,00;657,91;107,30;859,68;33,14;705,73
1;23;MINALBA ALIMENTOS E BEBIDAS LTDA;1153508;EFETIVADA;05/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,70;11,22;0,00;1235,44;222,38;1796,18;100,93;1347,59
1;572;SUPER VINHOS DISTRIBUIDORA S.A.;187290;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;358,27;7,81;2,32;0,00;391,11;114,19;346,41;42,90;281,20
1;68;RIO DE JANEIRO REFRESCOS;947890;EFETIVADA;07/12/2023;08/12/2023;0,00;42,89;0,00;129,83;115,64;0,00;0,00;130,05;56,31;0,00;6502,73;1094,95;9163,69;476,72;7190,39
1;23;MINALBA ALIMENTOS E BEBIDAS LTDA;1154533;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,50;6,11;0,00;375,00;67,50;680,40;54,97;436,08
1;573;NOVA COQUEIRO DE ALIMENTOS LTDA;1351706;EFETIVADA;08/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;40,51;2,85;0,00;0,00;142,56;52,75;0,00;0,00;205,92
1;44;CRBS S/A CDD PAVUNA;763226;EFETIVADA;08/12/2023;09/12/2023;0,00;0,00;0,00;0,00;316,58;0,00;58,53;224,97;97,88;0,00;11246,10;1971,75;15925,34;826,06;12644,82
1;122;SUPER GIRO DISTRIB DE GEN ALIMENT EIRELI;128373;EFETIVADA;11/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;124,24;14,91;6,52;0,00;745,42;134,18;1071,68;58,72;1307,60
1;68;RIO DE JANEIRO REFRESCOS;953542;EFETIVADA;11/12/2023;12/12/2023;0,00;39,86;0,00;77,19;117,30;0,00;0,00;123,63;17,98;0,00;6181,06;998,43;7080,03;148,34;6684,14
1;6;CERVEJARIA PETROPOLIS S/A;2859545;EFETIVADA;13/12/2023;15/12/2023;0,00;0,00;0,00;0,00;10,18;0,00;0,00;6,95;2,05;0,00;347,44;59,07;481,20;17,39;408,45
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;896029;EFETIVADA;13/12/2023;16/12/2023;0,00;1,90;0,00;0,00;0,00;0,00;110,55;13,27;5,80;0,00;663,30;119,39;953,63;52,26;1165,46
1;433;CERVEJARIAS KAISER BRASIL S.A.;511049;EFETIVADA;16/12/2023;18/12/2023;0,00;3,78;0,00;332,69;18,55;0,00;0,00;12,67;2,89;0,00;633,26;107,65;777,60;24,54;679,24
1;44;CRBS S/A CDD PAVUNA;771271;EFETIVADA;16/12/2023;18/12/2023;0,00;0,00;0,00;0,00;46,11;0,00;0,00;39,99;16,02;0,00;1999,67;341,33;2800,53;135,60;2197,40
1;44;CRBS S/A CDD PAVUNA;771272;EFETIVADA;16/12/2023;18/12/2023;0,00;0,00;0,00;0,00;100,28;0,00;0,00;80,50;35,99;0,00;4024,51;702,16;5823,60;313,62;4699,40
1;68;RIO DE JANEIRO REFRESCOS;966095;EFETIVADA;19/12/2023;20/12/2023;0,00;45,07;0,00;62,94;120,45;0,00;0,00;126,97;52,81;0,00;6348,56;1028,20;8988,96;428,87;7438,52
1;68;RIO DE JANEIRO REFRESCOS;966910;EFETIVADA;19/12/2023;20/12/2023;0,00;2,08;0,00;0,00;4,55;0,00;0,00;6,24;3,19;0,00;311,83;56,13;471,33;28,71;348,28
1;68;RIO DE JANEIRO REFRESCOS;968955;EFETIVADA;20/12/2023;21/12/2023;0,00;2,45;0,00;0,00;7,25;0,00;0,00;7,44;3,45;0,00;371,82;59,49;544,50;27,63;410,15
