Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;10;BRF S.A.;9037518;EFETIVADA;02/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;248,34;37,78;12,78;0,00;3675,52;572,50;2270,00;114,90;4648,75
1;190;SEARA ALIMENTOS LTDA;1730031;EFETIVADA;07/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;96,01;16,04;3,80;0,00;1046,52;188,38;694,00;34,04;839,98
1;60;JBS S.A.;2921900;EFETIVADA;08/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;25,23;2,02;0,75;0,00;359,89;49,24;138,24;6,72;108,37
1;80;FORNO DE MINAS ALIMENTOS S/A - RJ 2;575392;EFETIVADA;08/12/2023;11/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,90;2,38;0,00;1345,48;242,18;501,96;21,36;1369,22
1;10;BRF S.A.;9051082;EFETIVADA;09/12/2023;11/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;211,76;28,76;9,62;0,00;2576,69;419,88;1697,50;86,60;2826,08
1;238;LACCA DISTRIBUIDORA DE LATICINIOS LTDA;90581;EFETIVADA;12/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;31,38;3,77;0,00;0,00;188,28;33,89;0,00;0,00;313,80
1;570;GET DISTRIBUIDORA DE ALIMENTOS LTDA;214246;EFETIVADA;12/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,91;0,00;0,00;195,58;35,20;0,00;0,00;406,39
1;141;COOPERATIVA CENTRAL AURORA ALIMENTOS;4122394;EFETIVADA;13/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;34,00;1,33;0,00;0,00;415,69;53,88;0,00;0,00;598,32
1;190;SEARA ALIMENTOS LTDA;1740831;EFETIVADA;14/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,30;3,22;0,00;664,80;119,67;590,31;28,93;461,55
1;10;BRF S.A.;9061440;EFETIVADA;14/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;178,48;16,67;6,27;0,00;2390,82;343,42;1147,24;56,48;1063,18
1;292;FRIMESA COOPERATIVA CENTRAL;932723;EFETIVADA;14/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;48,05;5,88;2,18;0,00;433,30;77,99;402,81;19,58;673,96
1;321;WILLIAM SANT ANNA DE ASSIS ABRAO 12884597778;8347532;EFETIVADA;15/12/2023;15/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;359,85
1;10;BRF S.A.;9077855;EFETIVADA;21/12/2023;21/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;6,69;15,85;2,45;0,00;860,35;150,75;444,77;22,08;933,92
1;185;RIO BRANCO ALIMENTOS S/A;5094643;EFETIVADA;22/12/2023;26/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,96;1,15;0,00;147,88;26,62;205,33;10,34;159,37
1;60;JBS S.A.;2933767;EFETIVADA;22/12/2023;23/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;43,56;5,06;1,87;0,00;379,18;68,25;346,50;16,85;596,34
1;190;SEARA ALIMENTOS LTDA;1754213;EFETIVADA;22/12/2023;23/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;51,60;21,10;6,99;0,00;1123,24;202,19;1259,77;62,57;1304,33
1;405;RIO MEAT DISTRIBUIDORA DE ALIMENTOS LTDA;671444;EFETIVADA;28/12/2023;28/12/2023;0,00;1,50;0,00;0,00;0,00;0,00;120,75;4,07;0,00;0,00;1443,09;185,38;0,00;0,00;1345,65
1;190;SEARA ALIMENTOS LTDA;1760139;EFETIVADA;28/12/2023;28/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;23,01;9,83;3,66;0,00;492,18;88,60;674,32;32,75;620,61
1;10;BRF S.A.;9087561;EFETIVADA;28/12/2023;29/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;154,99;41,48;10,68;0,00;3666,32;564,46;1890,51;96,08;2643,33
1;80;FORNO DE MINAS ALIMENTOS S/A - RJ 2;575725;EFETIVADA;28/12/2023;29/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;37,99;2,78;0,00;1899,06;341,83;586,57;24,94;1926,78
