Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;49;RODIN DISTRIBUIDORA DE ALIMENTOS;51582;EFETIVADA;29/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;817,20
1;341;DISTRIBUIDORA ANGRENSE LATICINIOS LTDA;43989;EFETIVADA;29/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,73;0,00;0,00;2186,83;393,64;0,00;0,00;2186,83
1;1;LACTALIS DO BRASIL;923208;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,21;3,78;0,00;510,62;91,91;699,31;33,96;426,10
1;70;LATICINIOS VILLAGGE INDUSTRIA E COMERCIO EIRELI;10708989;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;624,88;74,99;0,00;0,00;624,88
1;33;ITAMBÉ ALIMENTOS S/A;1844146;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;53,00;0,00;0,00;0,00;14,16;7,48;0,00;707,80;127,40;1081,63;67,29;782,57
1;94;TOP BIRRA DIST. DE BEB. E LOGISTICA LTDA;6341089;EFETIVADA;01/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;67,91;8,15;1,91;0,00;407,49;73,37;398,28;17,13;698,19
1;260;MISTERMIX DIST DE PROD ALIM LTDA;514552;EFETIVADA;01/12/2023;02/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;49,96;5,99;0,51;0,00;299,78;53,96;115,56;4,56;504,71
1;10;BRF S.A.;9037517;EFETIVADA;02/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;95,71;17,74;6,56;0,00;1164,30;209,57;1215,07;59,08;1665,93
1;36;PURA SAUDE DISTRIBUIDORA DE ALIMENTOS EIRELI;21386;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;279,00
1;441;MASTERMIX DISTRIBUIDORA DE GENEROS ALIME;168098;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;27,28;3,27;0,00;0,00;163,70;29,47;0,00;0,00;272,84
1;64;COROADO AGRO IND E COM LTDA;22961;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;480,22
1;292;FRIMESA COOPERATIVA CENTRAL;930416;EFETIVADA;05/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,42;0,94;0,00;121,22;21,82;167,95;8,41;130,57
1;70;LATICINIOS VILLAGGE INDUSTRIA E COMERCIO EIRELI;10709403;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;57,00;0,00;0,00;0,00;0,00;0,00;0,00;870,00;104,40;0,00;0,00;870,00
1;512;DRACAR COMERCIO DE ALIMENTOS LTDA;77416;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,43;0,00;0,00;1721,26;309,82;0,00;0,00;1721,26
1;94;TOP BIRRA DIST. DE BEB. E LOGISTICA LTDA;6342605;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;46,23;5,55;1,29;0,00;277,38;49,92;341,97;11,64;475,20
1;33;ITAMBÉ ALIMENTOS S/A;1845464;EFETIVADA;06/12/2023;06/12/2023;0,00;0,00;0,00;30,00;0,00;0,00;0,00;18,61;3,64;0,00;930,56;167,51;623,13;32,90;878,34
1;539;NOBREDO COMERCIO E LOGISTICA LTDA;814967;EFETIVADA;06/12/2023;06/12/2023;0,00;1,90;0,00;0,00;0,00;0,00;37,85;4,57;1,43;0,00;228,26;41,09;298,95;12,93;394,79
1;260;MISTERMIX DIST DE PROD ALIM LTDA;515895;EFETIVADA;06/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;42,50;5,10;0,00;0,00;254,97;45,89;0,00;0,00;424,95
1;464;BASEL LACTEOS S A;26867;EFETIVADA;06/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2081,21;249,75;0,00;0,00;2081,21
1;379;LATICINIOS TIROLEZ LTDA;196755;EFETIVADA;06/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,61;0,00;115,33;13,84;180,36;18,62;137,56
1;379;LATICINIOS TIROLEZ LTDA;196754;EFETIVADA;06/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;283,46;34,02;0,00;0,00;283,46
1;292;FRIMESA COOPERATIVA CENTRAL;931010;EFETIVADA;07/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,08;3,53;0,00;605,18;108,95;652,58;31,69;608,24
1;483;MEZZANI ALIMENTOS LTDA;1789;EFETIVADA;07/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,44;4,25;0,00;0,00;-35,44
1;494;RAR Industria e Comercio de Alimentos Ltda;168938;EFETIVADA;07/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;856,52;69,42;0,00;0,00;856,52
