Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;546;NOVA ROCHA COMERCIO DE ALIMENTOS EIRELI;59358;EFETIVADA;04/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,95;0,00;0,00;297,25;53,49;0,00;0,00;297,25
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74135;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,20;0,00;0,00;60,21;10,84;0,00;0,00;497,67
1;307;CASA FLORA LTDA;288337;EFETIVADA;04/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,83;0,00;146,83;5,87;191,70;30,50;46,64
1;49;RODIN DISTRIBUIDORA DE ALIMENTOS;51669;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;517,98
1;28;FORCA TOTAL DIST.DE GEN. ALIMENT. LTDA;906853;EFETIVADA;11/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;24,49;2,94;0,00;0,00;146,94;26,45;0,00;0,00;244,90
1;477;GOLDPACKRIO ONLINE COMERCIO ELETRONICO DE DESCARTA;28193;EFETIVADA;11/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;450,00;81,00;0,00;0,00;450,00
1;273;MILLENIUM MARKETING VISUAL EIRELI;12004;EFETIVADA;12/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;425,00
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74609;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,29;0,00;0,00;514,32;92,58;0,00;0,00;514,32
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74607;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,25;0,00;0,00;162,72;29,29;0,00;0,00;500,44
1;546;NOVA ROCHA COMERCIO DE ALIMENTOS EIRELI;60273;EFETIVADA;18/12/2023;19/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,44;0,00;0,00;321,81;57,92;0,00;0,00;321,81
1;477;GOLDPACKRIO ONLINE COMERCIO ELETRONICO DE DESCARTA;28648;EFETIVADA;20/12/2023;21/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;42,93;0,00;0,00;2146,45;386,36;0,00;0,00;2146,45
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;75148;EFETIVADA;21/12/2023;22/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,07;0,00;0,00;1303,70;234,67;0,00;0,00;858,70
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;75149;EFETIVADA;21/12/2023;22/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,57;0,00;0,00;1228,74;221,17;0,00;0,00;1228,74
1;477;GOLDPACKRIO ONLINE COMERCIO ELETRONICO DE DESCARTA;28753;EFETIVADA;26/12/2023;27/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,08;0,00;0,00;754,00;135,72;0,00;0,00;754,00
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;75397;EFETIVADA;27/12/2023;28/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,32;0,00;0,00;15,81;2,85;0,00;0,00;195,00
