Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;182;DACOLONIA ALIMENTOS NATURAIS LTDA;813126;EFETIVADA;24/11/2023;01/12/2023;0,00;0,00;0,00;0,00;11,45;0,00;0,00;0,00;11,04;0,00;984,48;118,15;551,66;59,06;1066,03
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;853608;EFETIVADA;29/11/2023;01/12/2023;0,00;3,90;0,00;0,00;0,00;0,00;208,91;25,09;4,52;0,00;1253,47;225,64;883,43;40,81;2138,37
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;853609;EFETIVADA;29/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;7,86;0,94;0,00;0,00;47,16;8,49;0,00;0,00;78,60
1;1;LACTALIS DO BRASIL;923208;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,21;3,78;0,00;510,62;91,91;699,31;33,96;122,26
1;482;Apiario Leao Ltda.;3685;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,69;0,00;0,00;0,00;3151,09;222,21;2163,50
1;460;MELHORAMENTOS CMPC LTDA;145238;EFETIVADA;30/11/2023;05/12/2023;0,00;0,00;0,00;0,00;27,60;0,00;375,73;16,99;11,26;0,00;1938,46;348,93;1412,24;101,35;3790,33
1;460;MELHORAMENTOS CMPC LTDA;145239;EFETIVADA;30/11/2023;05/12/2023;0,00;0,00;0,00;0,00;7,37;0,00;0,00;4,54;3,04;0,00;226,80;40,82;379,03;27,40;264,61
1;533;SENDAS DISTRIBUIDORA S A LJ302;21450;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;1087,02;186,04;0,00;0,00;2657,66
1;371;ATITUDE RIO DISTRIBUIDORA;1219048;EFETIVADA;30/11/2023;09/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;225,45;0,00;0,00;0,00;653,57;117,64;0,00;0,00;1680,60
1;25;LOURO VERDE COM. DE PROD. NATURAIS LTDA;146192;EFETIVADA;01/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,30;0,00;0,00;465,12;83,72;0,00;0,00;465,12
1;533;SENDAS DISTRIBUIDORA S A LJ302;21535;EFETIVADA;01/12/2023;02/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,94;0,00;0,00;2347,20;422,50;0,00;0,00;2347,20
1;363;MA - KAYROS DIST DE ALIM E BEBIDAS LTDA;428296;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;256,84;30,84;3,74;0,00;1541,08;277,35;800,91;33,69;2605,89
1;571;CIA CAPITAL DE PRODUTOS ALIMENTICIOS;187394;EFETIVADA;04/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;376,20;1,12;0,00;0,00;1386,05;249,48;0,00;0,00;3476,00
1;232;UNILEVER BRASIL LTDA;360681;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,16;4,74;0,00;708,92;127,62;945,20;42,52;756,18
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74134;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,40;0,00;0,00;1020,00;183,60;0,00;0,00;1020,00
1;180;LUIS ANDRE ALMEIDA SILVA;8277826;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;489,00
1;307;CASA FLORA LTDA;288338;EFETIVADA;04/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,08;0,00;2854,61;114,17;3953,76;624,79;3558,48
1;307;CASA FLORA LTDA;288337;EFETIVADA;04/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,83;0,00;146,83;5,87;191,70;30,50;134,52
1;246;M. DIAS BRANCO S.A. INDÚSTRIA E COM DE ALIMENTOS;1597127;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;569,62;0,00;0,00;0,00;467,08
1;458;ATLAS RIO DISTRIBUIDORA LTDA;221696;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;86,08;10,32;3,66;0,00;516,52;92,97;699,07;32,86;897,40
1;16;COMERCIAL BEIRAO DA SERRA LTDA.;729619;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;56,31;4,02;0,00;0,00;267,19;48,08;0,00;0,00;505,10
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20528314;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;64,12;0,00;0,00;0,00;185,88;33,46;0,00;0,00;478,00
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20528312;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;514,03;34,13;13,29;0,00;2372,86;427,13;2256,99;119,69;4689,43
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20528313;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;22,94;0,00;0,00;0,00;66,50;11,97;0,00;0,00;171,00
1;71;MIX CERTO DIST. C. A. L. LTDA;1184367;EFETIVADA;05/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;399,68;47,95;9,14;0,00;2397,83;431,63;2373,34;82,35;4087,92
1;33;ITAMBÉ ALIMENTOS S/A;1845464;EFETIVADA;06/12/2023;06/12/2023;0,00;0,00;0,00;30,00;0,00;0,00;0,00;18,61;3,64;0,00;930,56;167,51;623,13;32,90;88,76
1;20;MEGA RIO LOG E DISTRIB DE ALIMENTOS;1723894;EFETIVADA;06/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;323,89;31,18;6,79;0,00;1744,60;314,01;1288,43;61,07;3293,98
1;69;GARCIA ATACADISTA LTDA;2598875;EFETIVADA;07/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;460,92;55,34;11,45;0,00;2765,57;497,81;2373,75;103,18;4723,90
1;41;UNILIDER DISTRIBUIDORA S.A.;1948942;EFETIVADA;07/12/2023;08/12/2023;0,00;2,50;0,00;0,00;0,00;0,00;55,43;6,65;1,41;0,00;332,63;59,89;239,75;12,62;568,42
1;41;UNILIDER DISTRIBUIDORA S.A.;1948943;EFETIVADA;07/12/2023;08/12/2023;0,00;2,50;0,00;0,00;0,00;0,00;88,71;10,64;0,00;0,00;532,27;95,80;0,00;0,00;887,12
1;292;FRIMESA COOPERATIVA CENTRAL;931010;EFETIVADA;07/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,08;3,53;0,00;605,18;108,95;652,58;31,69;32,16
1;442;INDUSTRIAS GRANFINO S/A;1655837;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;155,43;8,80;0,00;0,00;643,00;115,74;0,00;0,00;1588,22
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;856068;EFETIVADA;07/12/2023;12/12/2023;0,00;3,90;0,00;0,00;0,00;0,00;100,45;12,05;4,15;0,00;602,70;108,50;810,64;37,45;1050,00
1;113;JOHNCENTER DISTRIBUICAO & LOGISTICA LTDA;259397;EFETIVADA;07/12/2023;14/12/2023;0,00;2,70;0,00;70,67;0,00;0,00;157,68;7,87;0,49;0,00;660,46;118,88;109,09;4,39;1350,01
1;521;OTIMA COMERCIO ATACADISTA DE PROD.E IMP.EIRELI;9111;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27,92;0,00;0,00;1395,48;251,17;0,00;0,00;1508,52
1;71;MIX CERTO DIST. C. A. L. LTDA;1187375;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;19,71;2,37;0,37;0,00;118,27;21,29;136,81;3,34;200,83
1;71;MIX CERTO DIST. C. A. L. LTDA;1187374;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;431,84;51,81;9,52;0,00;2590,89;466,34;2992,28;85,69;4413,35
1;71;MIX CERTO DIST. C. A. L. LTDA;1187372;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;71,88;0,00;0,00;0,00;208,32;37,50;0,00;0,00;535,68
1;71;MIX CERTO DIST. C. A. L. LTDA;1187371;EFETIVADA;07/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;214,67;10,46;3,66;0,00;821,72;159,62;706,52;37,91;1779,11
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20529699;EFETIVADA;08/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;268,41;8,83;2,21;0,00;1006,22;181,14;464,47;19,86;2210,21
1;20;MEGA RIO LOG E DISTRIB DE ALIMENTOS;1725949;EFETIVADA;08/12/2023;11/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;85,74;0,00;0,00;0,00;248,58;44,74;0,00;0,00;639,20
1;53;PEPSICO DO BRASIL LTDA;1505;EFETIVADA;08/12/2023;08/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,23;22,85;0,00;2262,59;407,28;3404,37;205,52;2490,96
1;53;PEPSICO DO BRASIL LTDA;1506;EFETIVADA;08/12/2023;08/12/2023;0,00;0,00;0,00;237,55;0,00;0,00;0,00;8,26;8,80;0,00;413,15;74,36;852,81;79,15;501,10
1;562;DISTRIBUIDORA DE CONGELADOS MIRACEMA LTDA;220346;EFETIVADA;08/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1425,08
1;232;UNILEVER BRASIL LTDA;362405;EFETIVADA;11/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,52;7,18;0,00;1076,72;193,83;1435,60;64,60;1148,50
1;566;QUALITYSACK EMBALAGENS LTDA;304;EFETIVADA;12/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2270,00
1;110;TEMPERMIX COMERCIAL DE ALIMENTOS EIRELI;79602;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,23;1,60;0,00;811,68;146,11;175,75;14,35;827,63
1;216;MB 5 - COMERCIO IMPORTACAO E EXPORTACAO LTDA;2301012;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4252,77;489,30;0,00;0,00;4252,77
1;447;COMBRASIL CIA BRASIL CENTRAL COM E IND;280706;EFETIVADA;12/12/2023;19/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1157,07;117,86;0,00;0,00;1157,07
1;216;MB 5 - COMERCIO IMPORTACAO E EXPORTACAO LTDA;2301011;EFETIVADA;12/12/2023;13/12/2023;0,00;1,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5780,37;693,64;0,00;0,00;5780,37
1;94;TOP BIRRA DIST. DE BEB. E LOGISTICA LTDA;6346336;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;133,69;16,07;4,02;0,00;802,28;144,42;1002,00;35,95;1377,13
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74608;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,40;0,00;0,00;1020,00;183,60;0,00;0,00;1020,00
1;539;NOBREDO COMERCIO E LOGISTICA LTDA;820288;EFETIVADA;13/12/2023;13/12/2023;0,00;1,90;0,00;0,00;0,00;0,00;69,37;8,35;1,29;0,00;417,32;75,12;268,23;11,60;103,35
1;292;FRIMESA COOPERATIVA CENTRAL;932314;EFETIVADA;13/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,35;0,00;0,00;717,60;129,17;0,00;0,00;717,60
1;292;FRIMESA COOPERATIVA CENTRAL;932313;EFETIVADA;13/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,57;14,91;0,00;2029,02;365,23;2709,35;134,02;32,16
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20532109;EFETIVADA;13/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;327,16;35,13;9,87;0,00;1945,49;337,03;2117,49;85,92;3135,21
1;143;PLAYVENDER DIST. HIGIENE E LIMPEZA LTDA;1580903;EFETIVADA;13/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;11,45;1,37;0,52;0,00;68,71;12,37;94,74;4,69;108,28
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;857474;EFETIVADA;13/12/2023;14/12/2023;0,00;3,90;0,00;0,00;0,00;0,00;62,15;7,45;1,09;0,00;372,89;67,13;191,84;9,75;636,22
