Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;468;Lua do Oriente Industria e Comercio Eireli;2487;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;140,00
1;513;MARQUESPAN INDUSTRIA DE ALIMENTOS LTDA;1037127;EFETIVADA;01/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1610,55;193,27;0,00;0,00;1610,55
1;451;BIMBO DO BRASIL LTDA;1722284;EFETIVADA;02/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,64;9,18;0,00;2945,48;228,72;1941,69;70,70;2820,63
1;306;ELENILSON DE OLIVEIRA MELO TRANSPORTES;4814;EFETIVADA;04/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1249,34
1;313;MIDAS RIO IND COM GEM ALIMENT LTDA ME;72784;EFETIVADA;05/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;498,25;12,89;411,97
1;513;MARQUESPAN INDUSTRIA DE ALIMENTOS LTDA;1047171;EFETIVADA;08/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1610,55;193,27;0,00;0,00;1610,55
1;468;Lua do Oriente Industria e Comercio Eireli;2506;EFETIVADA;08/12/2023;11/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;140,00
1;451;BIMBO DO BRASIL LTDA;1725739;EFETIVADA;09/12/2023;11/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,68;0,84;0,00;2063,82;16,12;175,96;4,98;1799,52
1;306;ELENILSON DE OLIVEIRA MELO TRANSPORTES;4872;EFETIVADA;11/12/2023;12/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1263,93
1;313;MIDAS RIO IND COM GEM ALIMENT LTDA ME;72849;EFETIVADA;12/12/2023;13/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;498,25;12,89;411,97
1;37;EMPRESA BRASILEIRA DE DISTRIBUICAO LTDA;20532109;EFETIVADA;13/12/2023;14/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;327,16;35,13;9,87;0,00;1945,49;337,03;2117,49;85,92;263,87
1;451;BIMBO DO BRASIL LTDA;1727257;EFETIVADA;13/12/2023;15/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,09;6,10;0,00;2929,71;125,08;1208,59;43,13;2442,10
1;468;Lua do Oriente Industria e Comercio Eireli;2515;EFETIVADA;15/12/2023;16/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;140,00
1;513;MARQUESPAN INDUSTRIA DE ALIMENTOS LTDA;1056481;EFETIVADA;15/12/2023;20/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1760,06;211,21;0,00;0,00;1760,06
1;451;BIMBO DO BRASIL LTDA;1728944;EFETIVADA;16/12/2023;18/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,06;2,49;0,00;848,21;48,38;527,91;14,97;803,37
1;306;ELENILSON DE OLIVEIRA MELO TRANSPORTES;4924;EFETIVADA;18/12/2023;18/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;958,40
