Loja;Cliente;Chave;Série;Documento;Emissão;Situação;Frete;Outros;Seguro;Desconto;CFOP;IPI;ICMS base;ICMS valor;ICMS ST base;ICMS ST valor;Valor
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017961002145244;200;000001796;27/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;31,26;5,62;0,00;0,00;480,88
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017971002145250;200;000001797;27/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;28,84;5,18;0,00;0,00;237,30
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017981002145265;200;000001798;27/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;0,00;0,00;0,00;0,00;813,20
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000017991002145270;200;000001799;27/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;254,19;45,76;0,00;0,00;676,31
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000018011002146358;200;000001801;28/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;83,20;14,98;0,00;0,00;465,33
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000018031002148231;200;000001803;29/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;58,70;10,57;0,00;0,00;252,15
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000018041002148247;200;000001804;29/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;45,48;8,19;0,00;0,00;246,22
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000018051002148252;200;000001805;29/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;3,84;0,69;0,00;0,00;252,58
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000018061002148268;200;000001806;29/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;44,73;8,06;0,00;0,00;193,55
000001 - MERCADELI SUPERMERCADO LTDA;615 - MERCADELI SUPERMERCADO LTDA;33231223549577000152552000000018071002148273;200;000001807;29/12/2023;Efetivada;0,00;0,00;0,00;0,00;5927;0,00;21,35;3,84;0,00;0,00;440,53
