Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;169;GLOBIMPORT COMERCIO E IMPORTACAO LTDA;83635;EFETIVADA;24/11/2023;02/12/2023;0,00;0,00;0,00;0,00;92,72;0,00;0,00;0,00;0,00;0,00;1244,36;49,78;0,00;0,00;1337,08
1;182;DACOLONIA ALIMENTOS NATURAIS LTDA;813126;EFETIVADA;24/11/2023;01/12/2023;0,00;0,00;0,00;0,00;11,45;0,00;0,00;0,00;11,04;0,00;984,48;118,15;551,66;59,06;1066,03
1;242;COMERCIAL LUCHELLE LTDA;176949;EFETIVADA;28/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;571,52;0,00;0,00;0,00;171,11;30,80;0,00;0,00;2490,00
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;853608;EFETIVADA;29/11/2023;01/12/2023;0,00;3,90;0,00;0,00;0,00;0,00;208,91;25,09;4,52;0,00;1253,47;225,64;883,43;40,81;2138,37
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;853609;EFETIVADA;29/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;7,86;0,94;0,00;0,00;47,16;8,49;0,00;0,00;78,60
1;49;RODIN DISTRIBUIDORA DE ALIMENTOS;51582;EFETIVADA;29/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;817,20
1;341;DISTRIBUIDORA ANGRENSE LATICINIOS LTDA;43989;EFETIVADA;29/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;43,73;0,00;0,00;2186,83;393,64;0,00;0,00;2186,83
1;1;LACTALIS DO BRASIL;923208;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,21;3,78;0,00;510,62;91,91;699,31;33,96;548,36
1;482;Apiario Leao Ltda.;3685;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,69;0,00;0,00;0,00;3151,09;222,21;2163,50
1;70;LATICINIOS VILLAGGE INDUSTRIA E COMERCIO EIRELI;10708989;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;624,88;74,99;0,00;0,00;624,88
1;460;MELHORAMENTOS CMPC LTDA;145238;EFETIVADA;30/11/2023;05/12/2023;0,00;0,00;0,00;0,00;27,60;0,00;375,73;16,99;11,26;0,00;1938,46;348,93;1412,24;101,35;3790,33
1;68;RIO DE JANEIRO REFRESCOS;938392;EFETIVADA;30/11/2023;02/12/2023;0,00;4,21;0,00;13,41;10,64;0,00;0,00;13,15;4,04;0,00;657,91;107,30;859,68;33,14;705,73
1;460;MELHORAMENTOS CMPC LTDA;145239;EFETIVADA;30/11/2023;05/12/2023;0,00;0,00;0,00;0,00;7,37;0,00;0,00;4,54;3,04;0,00;226,80;40,82;379,03;27,40;264,61
1;533;SENDAS DISTRIBUIDORA S A LJ302;21450;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,00;0,00;0,00;1087,02;186,04;0,00;0,00;2657,66
1;33;ITAMBÉ ALIMENTOS S/A;1844146;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;53,00;0,00;0,00;0,00;14,16;7,48;0,00;707,80;127,40;1081,63;67,29;782,57
1;468;Lua do Oriente Industria e Comercio Eireli;2487;EFETIVADA;30/11/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;140,00
1;371;ATITUDE RIO DISTRIBUIDORA;1219048;EFETIVADA;30/11/2023;09/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;225,45;0,00;0,00;0,00;653,57;117,64;0,00;0,00;1680,60
1;405;RIO MEAT DISTRIBUIDORA DE ALIMENTOS LTDA;651059;EFETIVADA;01/12/2023;01/12/2023;0,00;1,50;0,00;0,00;0,00;0,00;41,93;0,00;0,00;0,00;430,35;51,64;0,00;0,00;739,30
1;116;QUEBRAMAR IND E COM DE CARNES E DERIVADOS LTDA;1292793;EFETIVADA;01/12/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;205,37;0,00;0,00;0,00;2108,08;252,96;0,00;0,00;3614,05
1;570;GET DISTRIBUIDORA DE ALIMENTOS LTDA;212158;EFETIVADA;01/12/2023;02/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;42,93;0,00;0,00;0,00;440,66;52,87;0,00;0,00;755,46
1;532;FORCE MEAT COM E DISTR DE CARNES E DERIVADOS LTDA;932231;EFETIVADA;01/12/2023;01/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;302,75;0,00;0,00;0,00;3107,84;372,94;0,00;0,00;5328,03
1;242;COMERCIAL LUCHELLE LTDA;177231;EFETIVADA;01/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;572,77;0,00;0,00;0,00;250,83;45,15;0,00;0,00;2590,00
1;513;MARQUESPAN INDUSTRIA DE ALIMENTOS LTDA;1037127;EFETIVADA;01/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1610,55;193,27;0,00;0,00;1610,55
1;94;TOP BIRRA DIST. DE BEB. E LOGISTICA LTDA;6341089;EFETIVADA;01/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;67,91;8,15;1,91;0,00;407,49;73,37;398,28;17,13;698,19
1;260;MISTERMIX DIST DE PROD ALIM LTDA;514552;EFETIVADA;01/12/2023;02/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;49,96;5,99;0,51;0,00;299,78;53,96;115,56;4,56;504,71
1;206;RAUCHER ALIMENTOS LTDA - EPP;8708;EFETIVADA;01/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;490,00
1;25;LOURO VERDE COM. DE PROD. NATURAIS LTDA;146192;EFETIVADA;01/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,30;0,00;0,00;465,12;83,72;0,00;0,00;465,12
1;533;SENDAS DISTRIBUIDORA S A LJ302;21535;EFETIVADA;01/12/2023;02/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;46,94;0,00;0,00;2347,20;422,50;0,00;0,00;2347,20
1;10;BRF S.A.;9037517;EFETIVADA;02/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;95,71;17,74;6,56;0,00;1164,30;209,57;1215,07;59,08;1665,93
1;10;BRF S.A.;9037518;EFETIVADA;02/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;248,34;37,78;12,78;0,00;3675,52;572,50;2270,00;114,90;5336,28
1;451;BIMBO DO BRASIL LTDA;1722284;EFETIVADA;02/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,64;9,18;0,00;2945,48;228,72;1941,69;70,70;2820,63
1;36;PURA SAUDE DISTRIBUIDORA DE ALIMENTOS EIRELI;21386;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;279,00
1;306;ELENILSON DE OLIVEIRA MELO TRANSPORTES;4814;EFETIVADA;04/12/2023;04/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1249,34
1;550;PORCO FELIZ INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS E;4724;EFETIVADA;04/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;36,00;0,00;0,00;0,00;167,22;30,10;0,00;0,00;430,00
1;363;MA - KAYROS DIST DE ALIM E BEBIDAS LTDA;428296;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;256,84;30,84;3,74;0,00;1541,08;277,35;800,91;33,69;2605,89
1;571;CIA CAPITAL DE PRODUTOS ALIMENTICIOS;187394;EFETIVADA;04/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;376,20;1,12;0,00;0,00;1386,05;249,48;0,00;0,00;3476,00
1;232;UNILEVER BRASIL LTDA;360681;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,16;4,74;0,00;708,92;127,62;945,20;42,52;756,18
1;546;NOVA ROCHA COMERCIO DE ALIMENTOS EIRELI;59358;EFETIVADA;04/12/2023;06/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,95;0,00;0,00;297,25;53,49;0,00;0,00;297,25
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74135;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,20;0,00;0,00;60,21;10,84;0,00;0,00;497,67
1;366;BAIAO-PLAST COMERCIO DE DESCARTAVEIS EIRELI;74134;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,40;0,00;0,00;1020,00;183,60;0,00;0,00;1020,00
1;180;LUIS ANDRE ALMEIDA SILVA;8277826;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;489,00
1;307;CASA FLORA LTDA;288338;EFETIVADA;04/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;79,08;0,00;2854,61;114,17;3953,76;624,79;3558,48
1;307;CASA FLORA LTDA;288337;EFETIVADA;04/12/2023;07/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,83;0,00;146,83;5,87;191,70;30,50;181,16
1;441;MASTERMIX DISTRIBUIDORA DE GENEROS ALIME;168098;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;27,28;3,27;0,00;0,00;163,70;29,47;0,00;0,00;272,84
1;64;COROADO AGRO IND E COM LTDA;22961;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;480,22
1;246;M. DIAS BRANCO S.A. INDÚSTRIA E COM DE ALIMENTOS;1597127;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;569,62;0,00;0,00;0,00;467,08
1;510;MC RIBEIRO DISTRIBUIDORA DE AVES ABATIDAS LTDA;4381;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;202,35;0,00;0,00;0,00;983,76;118,05;0,00;0,00;1686,25
1;458;ATLAS RIO DISTRIBUIDORA LTDA;221696;EFETIVADA;04/12/2023;05/12/2023;0,00;0,00;0,00;0,00;0,00;0,00;86,08;10,32;3,66;0,00;516,52;92,97;699,07;32,86;897,40
