Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;221;B4U IMP. EXP. E COM. DE SAC LTDA;38575;EFETIVADA;08/01/2024;22/01/2024;0,00;0,00;0,00;0,00;212,39;0,00;0,00;0,00;0,00;0,00;3267,61;130,70;0,00;0,00;3480,00
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28
1;129;BELA ISCHIA ALIMENTOS LTDA;215701;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;3,49;0,00;0,00;20,34;2,48;0,00;1017,12;183,08;402,51;22,29;1045,38
1;564;Melmandala Ind de Benef de Mel LTDA;9319;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;505,20
1;20;MEGA RIO LOG E DISTRIB DE ALIMENTOS;1748308;EFETIVADA;19/01/2024;22/01/2024;0,00;0,00;0,00;0,00;0,00;0,00;66,64;1,44;0,54;0,00;230,13;41,42;98,67;4,89;532,35
1;20;MEGA RIO LOG E DISTRIB DE ALIMENTOS;1748309;EFETIVADA;19/01/2024;22/01/2024;0,00;0,00;0,00;0,00;0,00;0,00;352,16;31,80;7,72;0,00;1842,76;331,69;1636,51;69,41;3376,88
1;562;DISTRIBUIDORA DE CONGELADOS MIRACEMA LTDA;227466;EFETIVADA;19/01/2024;22/01/2024;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1237,16
1;451;BIMBO DO BRASIL LTDA;1744245;EFETIVADA;20/01/2024;22/01/2024;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,89;3,06;0,00;1543,17;61,24;647,52;18,93;1418,36
1;482;Apiario Leao Ltda.;4043;EFETIVADA;22/01/2024;22/01/2024;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,48;0,00;0,00;0,00;1210,06;85,33;830,81
1;25;LOURO VERDE COM. DE PROD. NATURAIS LTDA;146794;EFETIVADA;22/01/2024;22/01/2024;0,00;0,00;0,00;23,18;0,00;0,00;0,00;14,21;0,00;0,00;710,25;127,84;0,00;0,00;710,25
