Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total;Código do produto;Descrição Produto;Unidade de medida;Quantidade de itens na unidade;Quantidade de itens;CFOP;Frete do item;Seguro do item;Desconto do item;IPI do item;Base de cálculo do ICMS do item;ICMS do item;Base de calculo do ICMS ST do item;ICMS ST do item;DAE Item;ICMS desonerado do item;ICMS antecipado do item;FECOP do item;FECOP ST do item;FECOP retido do item;Valor unitário;Outras despesas do item;Valor total do item
1;221;B4U IMP. EXP. E COM. DE SAC LTDA;38575;EFETIVADA;08/01/2024;22/01/2024;0,00;0,00;0,00;0,00;212,39;0,00;0,00;0,00;0,00;0,00;3267,61;130,70;0,00;0,00;3480,00;000000000006059;SACOLA RETORNAVEL UN.;UN;1,00;1000,00;2102;0,00;0,00;0,00;212,39;3267,61;130,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,27;0,00;3480,00
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000016046;SUCO DE UVA AURORA 15L;CX;6,00;8,00;1403;0,00;0,00;0,00;0,00;353,76;63,68;508,60;27,87;0,00;58,96;0,00;7,08;3,09;0,00;73,70;1,01;621,57
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000008098;NECTAR MAGUARY MACA 1L;CX;12,00;2,00;1403;0,00;0,00;0,00;0,00;55,76;10,04;74,63;3,39;0,00;9,29;0,00;1,12;0,37;0,00;46,47;0,16;96,86
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000003814;NECTAR MAGUARY UVA 1L;CX;12,00;3,00;1403;0,00;0,00;0,00;0,00;83,65;15,06;111,94;5,09;0,00;13,94;0,00;1,67;0,57;0,00;46,47;0,24;145,31
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000006945;SUCO MAGUARY LIFE LARANJA 1L;CX;12,00;1,00;1403;0,00;0,00;0,00;0,00;31,10;5,60;41,62;1,89;0,00;5,18;0,00;0,62;0,21;0,00;51,83;0,09;54,02
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000016222;SUCO CONCENT. DAFRUTA CAJU 1L;CX;6,00;4,00;1403;0,00;0,00;0,00;0,00;78,34;14,10;0,00;0,00;0,00;13,06;0,00;1,57;0,00;0,00;32,64;0,22;130,78
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000016221;SUCO DELI FRUT ACEROLA 15L;CX;4,00;1,00;1102;0,00;0,00;0,00;0,00;16,04;2,89;23,06;1,26;0,00;2,67;0,00;0,32;0,14;0,00;26,74;0,05;28,19
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000016220;SUCO DELI FRUT UVA 15L;CX;4,00;1,00;1102;0,00;0,00;0,00;0,00;16,04;2,89;23,06;1,26;0,00;2,67;0,00;0,32;0,14;0,00;26,74;0,05;28,19
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000016219;SUCO DELI FRUT CAJU 15L;CX;4,00;1,00;1102;0,00;0,00;0,00;0,00;16,04;2,89;23,06;1,26;0,00;2,67;0,00;0,32;0,14;0,00;26,74;0,05;28,19
1;395;NOSSA SENHORA COMERCIO E DISTRIBUIDOR LT;906200;EFETIVADA;16/01/2024;23/01/2024;0,00;1,90;0,00;0,00;0,00;0,00;111,11;13,34;4,80;0,00;666,77;120,04;829,03;43,28;1161,28;000000000016218;SUCO DELI FRUT MANGA 15L;CX;4,00;1,00;1102;0,00;0,00;0,00;0,00;16,04;2,89;23,06;1,26;0,00;2,67;0,00;0,32;0,14;0,00;26,74;0,03;28,17
1;129;BELA ISCHIA ALIMENTOS LTDA;215701;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;3,49;0,00;0,00;20,34;2,48;0,00;1017,12;183,08;402,51;22,29;1045,38;000000000007276;NATURAL TEA CHA HIBISCO/ROMA/GOJI BERRY 1L;CX;12,00;3,00;1403;0,00;0,00;0,00;2,62;134,40;24,19;204,12;12,55;0,00;0,00;0,00;2,69;1,39;0,00;44,80;0,00;150,96
1;129;BELA ISCHIA ALIMENTOS LTDA;215701;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;3,49;0,00;0,00;20,34;2,48;0,00;1017,12;183,08;402,51;22,29;1045,38;000000000007683;NATURAL TEA CHA VERDE LARAN/GENG 1L;CX;12,00;1,00;1403;0,00;0,00;0,00;0,87;44,80;8,07;68,03;4,18;0,00;0,00;0,00;0,89;0,47;0,00;44,80;0,00;50,32
1;129;BELA ISCHIA ALIMENTOS LTDA;215701;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;3,49;0,00;0,00;20,34;2,48;0,00;1017,12;183,08;402,51;22,29;1045,38;000000000013908;BELA ISCHIA GUARANA HIBRIDO 1000ML;CX;6,00;5,00;1102;0,00;0,00;0,00;0,00;171,05;30,78;0,00;0,00;0,00;0,00;0,00;3,43;0,00;0,00;34,21;0,00;171,05
1;129;BELA ISCHIA ALIMENTOS LTDA;215701;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;3,49;0,00;0,00;20,34;2,48;0,00;1017,12;183,08;402,51;22,29;1045,38;000000000004620;CONCENTRADO BELA ISCHIA CAJU 1L;CX;6,00;6,00;1102;0,00;0,00;0,00;0,00;222,24;40,01;0,00;0,00;0,00;0,00;0,00;4,44;0,00;0,00;37,04;0,00;222,24
1;129;BELA ISCHIA ALIMENTOS LTDA;215701;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;3,49;0,00;0,00;20,34;2,48;0,00;1017,12;183,08;402,51;22,29;1045,38;000000000000503;CONCENTRADO BELA ISCHIA MARACUJA 1L;CX;6,00;2,00;1102;0,00;0,00;0,00;0,00;122,52;22,05;0,00;0,00;0,00;0,00;0,00;2,45;0,00;0,00;61,26;0,00;122,52
1;129;BELA ISCHIA ALIMENTOS LTDA;215701;EFETIVADA;18/01/2024;22/01/2024;0,00;0,00;0,00;0,00;3,49;0,00;0,00;20,34;2,48;0,00;1017,12;183,08;402,51;22,29;1045,38;000000000006556;CONCENTRADO BELA ISCHIA GOIABA 1L;CX;6,00;5,00;1102;0,00;0,00;0,00;0,00;222,65;40,08;0,00;0,00;0,00;0,00;0,00;4,45;0,00;0,00;44,53;0,00;222,65
