Código da Loja;Código do Fornecedor;Nome do Fornecedor;Número do Documento;Situação;Data De Emissão;Data de entrada;Frete;Outros;Seguro;Desconto;IPI;DAE;ICMS Desonerado;FECOP;Valor FECOPST;FECOP Retido;Base de Cálculo ICMS;Valor BC do ICMS;Base de Cálculo ICMSST;Valor BC ICMSST;Valor Total
1;169;GLOBIMPORT COMERCIO E IMPORTACAO LTDA;83635;EFETIVADA;24/11/2023;02/12/2023;0;0;0;0;92,72;0;0;0;0;0;1244,36;49,78;0;0;1337,08
1;182;DACOLONIA ALIMENTOS NATURAIS LTDA;813126;EFETIVADA;24/11/2023;01/12/2023;0;0;0;0;11,45;0;0;0;11,04;0;984,48;118,15;551,66;59,06;1066,03
1;242;COMERCIAL LUCHELLE LTDA;176949;EFETIVADA;28/11/2023;01/12/2023;0;0;0;0;0;0;571,52;0;0;0;171,11;30,8;0;0;2490
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;853608;EFETIVADA;29/11/2023;01/12/2023;0;3,9;0;0;0;0;208,91;25,09;4,52;0;1253,47;225,64;883,43;40,81;2138,37
1;13;NOVA PROSPER DISTRIB DE ALIMENTOS LTDA;853609;EFETIVADA;29/11/2023;01/12/2023;0;0;0;0;0;0;7,86;0,94;0;0;47,16;8,49;0;0;78,6
1;49;RODIN DISTRIBUIDORA DE ALIMENTOS;51582;EFETIVADA;29/11/2023;01/12/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;817,2
1;341;DISTRIBUIDORA ANGRENSE LATICINIOS LTDA;43989;EFETIVADA;29/11/2023;01/12/2023;0;0;0;0;0;0;0;43,73;0;0;2186,83;393,64;0;0;2186,83
1;1;LACTALIS DO BRASIL;923208;EFETIVADA;30/11/2023;01/12/2023;0;0;0;0;0;0;0;10,21;3,78;0;510,62;91,91;699,31;33,96;548,36
1;482;Apiario Leao Ltda.;3685;EFETIVADA;30/11/2023;01/12/2023;0;0;0;0;0;0;0;0;24,69;0;0;0;3151,09;222,21;2163,5
1;70;LATICINIOS VILLAGGE INDUSTRIA E COMERCIO EIRELI;10708989;EFETIVADA;30/11/2023;01/12/2023;0;0;0;38;0;0;0;0;0;0;624,88;74,99;0;0;624,88
1;460;MELHORAMENTOS CMPC LTDA;145238;EFETIVADA;30/11/2023;05/12/2023;0;0;0;0;27,6;0;375,73;16,99;11,26;0;1938,46;348,93;1412,24;101,35;3790,33
