Quebra;Código do Produto;Descrição do Produto;Embalagem;Código da Situação Fiscal;Venda Anterior;Oferta Anterior;Funcionário Anterior;Venda Atual;Oferta Atual;Funcionário Atual;Dias;Preço;%
NENHUMA;11339;ACAI BENI C/CUPUACU 2L;UN;1;;;;35,99;19,99;23;;;
NENHUMA;11341;ACAI BENI C/CUPUACU. 1L;UN;1;;;;19,59;13,99;23;;;
NENHUMA;11343;ACAI BENI NAT. 1L;UN;1;;;;19,59;13,99;23;;;
NENHUMA;2848;ACHOCOLATADO EM PO TODDY 200G;UN;1;;;;6,79;2,99;23;;;
NENHUMA;14349;ALGODAO ISABABY 25G;UN;1;;;;3,59;0,99;23;;;
NENHUMA;6005;ALGODAO ISABABY HIDROFILO 25G;UN;1;;;;2,69;0,99;23;;;
NENHUMA;15237;ANEIS DE CEBOLA BEMBRASIL 1.05KG;UN;324;;;;30,99;27,99;23;;;
NENHUMA;6881;ANEIS DE CEBOLA MCCAIN EMPANADOS 400G;UN;324;;;;18,99;14,99;23;;;
NENHUMA;15473;ANTEP. CASA M. PASTA DE TOMATE E BIQUINHO 160G;UN;1;;;;33,99;24,99;23;;;
NENHUMA;15471;ANTEPASTO CASA MADEIRA ITALIANO 160G;UN;1;;;;33,99;24,99;23;;;
NENHUMA;15983;AVE SUPREME SADIA TEMP. KG;KG;2;;;;29,99;19,99;16;;;
NENHUMA;16174;AZEITE MEZZANO E. VIRG.500ML;UN;1;;;;28,99;25,99;16;;;
NENHUMA;3528;B. DE CHOCO. BRANCO LACTA OREO 90G;UN;1;;;;6,19;2,99;23;;;
NENHUMA;2956;B. DE CHOCO. HERSHEYS BRANCO 92G;UN;1;;;;5,89;4,29;23;;;
NENHUMA;12381;B. DE CHOCO. LACTA DIAMANTE NEGRO 90G;UN;1;;;;6,29;3,99;23;;;
NENHUMA;9382;BACON EM FATIAS SEARA 250G;UN;324;;;;18,99;14,99;16;;;
NENHUMA;6885;BATATA PRINGLES QUEIJO 120G;UN;1;;;;16,99;9,99;23;;;
NENHUMA;3235;BIS BLACK 100.8G;UN;1;;;;6,79;5,29;23;;;
NENHUMA;7900;BIS OREO 100.8G;UN;1;;;;6,79;5,29;23;;;
NENHUMA;15069;BISC. VIVALE DOCE LEITE 250G;UN;5;;;;6,59;4,99;23;;;
NENHUMA;835;BISTECA SUINA SADIA KG;KG;2;;;;17,99;16,99;23;;;
NENHUMA;661;BOMBOM FERREIRO ROCHER 37.5G;UN;1;;;;8,99;8,99;23;;;
NENHUMA;665;BOMBOM FERRERO ROCHER 100G;UN;1;;;;23,89;23,89;23;;;
NENHUMA;15975;BOMBOM RAFFAELLO 30G;UN;1;;;;8,99;8,99;23;;;
NENHUMA;15973;BOMBOM RAFFAELLO 90G;UN;1;;;;18,59;18,59;23;;;
NENHUMA;3322;C. DE BARBEAR BOZZANO HIDRATACAO 65G;UN;1;;;;8,99;6,99;23;;;
NENHUMA;3321;C. DE BARBEAR BOZZANO PELE SENSIVEL 65G;UN;1;;;;8,99;5,99;23;;;
NENHUMA;6701;C. DE BARBEAR BOZZANO REFRESCANTE 65G;UN;1;;;;8,99;6,99;23;;;
NENHUMA;7749;CACAU EM PO MAVALERIO GOURMET 200G;UN;324;;;;19,99;5,99;23;;;
NENHUMA;14746;CAFE C. ALVES CAPS. VANILHA C/NOZES 50G;UN;3;;;;24,99;17,99;26;;;
NENHUMA;14743;CAFE C. ALVES CAPSULA CANELA 50G;UN;3;;;;24,99;17,99;26;;;
NENHUMA;14747;CAFE C. ALVES CAPSULA CHOCOLATE 50G;UN;3;;;;24,99;17,99;26;;;
NENHUMA;14748;CAFE C. ALVES CAPSULA EXTRA FORTE 50G;UN;3;;;;24,99;17,99;26;;;
NENHUMA;14745;CAFE C. ALVES CAPSULA GOURMET 50G;UN;3;;;;24,99;17,99;26;;;
