Loja;Cliente;Chave;Série;Documento;Emissão;Situação;Produto;Unid.;Qtde Unid.;Qtde;Valor unit.;Frete;Outros;Seguro;Desconto;CFOP;IPI;ICMS base;ICMS valor;ICMS ST base;ICMS ST valor;Valor do item;Valor
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000421031504100;103;000000042;04/12/2023;Efetivada;175 - MELANCIA BABY KG;KG;1,00;1,33;9,99;0,00;0,00;0,00;0,00;5102;0,00;24,99;4,50;0,00;0,00;13,34;61,04
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000421031504100;103;000000042;04/12/2023;Efetivada;937 - SACOLA PLASTICA UN.;UN;1,00;1,00;0,09;0,00;0,00;0,00;0,00;5102;0,00;24,99;4,50;0,00;0,00;0,09;61,04
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000421031504100;103;000000042;04/12/2023;Efetivada;3650 - KAPO LARANJA 200ML;UN;1,00;1,00;2,29;0,00;0,00;0,00;0,00;5102;0,00;24,99;4,50;0,00;0,00;2,29;61,04
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000421031504100;103;000000042;04/12/2023;Efetivada;3651 - KAPO UVA 200ML;UN;1,00;1,00;2,29;0,00;0,00;0,00;0,00;5102;0,00;24,99;4,50;0,00;0,00;2,29;61,04
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000421031504100;103;000000042;04/12/2023;Efetivada;3922 - BOLO PLUSVITA FRAPE 250G;UN;1,00;1,00;8,79;0,00;0,00;0,00;0,00;5102;0,00;24,99;4,50;0,00;0,00;8,79;61,04
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000421031504100;103;000000042;04/12/2023;Efetivada;16034 - CHOCOT.BAUDUCCO CHOCO 400G;UN;1,00;1,00;24,99;0,00;0,00;0,00;0,00;5102;0,00;24,99;4,50;0,00;0,00;24,99;61,04
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000431031534057;103;000000043;29/12/2023;Efetivada;104 - BANANA PRATA KG;KG;1,00;0,82;10,99;0,00;0,00;0,00;0,00;5102;0,00;34,15;4,70;0,00;0,00;9,01;74,24
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000431031534057;103;000000043;29/12/2023;Efetivada;919 - FINI TUBES MORANGO ACIDO 80G;UN;1,00;1,00;7,29;0,00;0,00;0,00;0,00;5102;0,00;34,15;4,70;0,00;0,00;7,29;74,24
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000431031534057;103;000000043;29/12/2023;Efetivada;937 - SACOLA PLASTICA UN.;UN;1,00;1,00;0,09;0,00;0,00;0,00;0,00;5102;0,00;34,15;4,70;0,00;0,00;0,09;74,24
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000431031534057;103;000000043;29/12/2023;Efetivada;1344 - PAO PLUSVITA TRADICIONAL 480G;UN;1,00;1,00;6,99;0,00;0,00;0,00;0,00;5102;0,00;34,15;4,70;0,00;0,00;6,99;74,24
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000431031534057;103;000000043;29/12/2023;Efetivada;2114 - CEBOLA NACIONAL KG;KG;1,00;0,37;7,99;0,00;0,00;0,00;0,00;5102;0,00;34,15;4,70;0,00;0,00;3,00;74,24
000001 - MERCADELI SUPERMERCADO LTDA;004 - JOELSON SANTOS FERREIRA;33231223549577000152551030000000431031534057;103;000000043;29/12/2023;Efetivada;4968 - CORACAO DA ALCATRA PED. KG;KG;1,00;1,15;35,99;0,00;0,00;0,00;0,00;5102;0,00;34,15;4,70;0,00;0,00;41,39;74,24
